DAY,MONTH,NAME_PREASURE,VALUE_PREASURE
27,AGO,MERCADINHO ESTRELA,10.60
27,AGO,10.60,20
27,AGO,AGO,MERCADINHO ESTRELA
27,AGO,69.90,69.90
07,AGO,MP *WITOR,1216.32
07,AGO,101.36,27
07,AGO,AGO,LE GOUT GELATERIA ARTE
07,AGO,14.90,14.90
20,AGO,PORKS GOIANIA,20.00
20,AGO,20.00,08
20,AGO,AGO,PARC=105MLP*NETSHOES
20,AGO,306.50,61.30
27,AGO,PAG*DeboraSantosDeOli,20.00
27,AGO,20.00,20
27,AGO,AGO,POSTO PARAUNA
27,AGO,35.70,35.70
08,AGO,PORTAL PARTICIPACOES,3.00
08,AGO,3.00,28
08,AGO,AGO,PARK PLACE ADMINISTR
08,AGO,6.00,6.00
20,AGO,MERCADINHO ESTRELA,2.00
20,AGO,2.00,09
20,AGO,AGO,SENAI DEPARTAMENTO REG
20,AGO,2470.68,205.89
29,AGO,MERCADINHO ESTRELA,26.90
29,AGO,26.90,20
29,AGO,AGO,MERCPAG*HBOMAXASSIN
29,AGO,13.95,13.95
09,AGO,PAG*ValdineiAndrade,3.00
09,AGO,3.00,29
09,AGO,AGO,PG *EMPORIO JARDIM EMP
09,AGO,3.00,3.00
21,AGO,Amazon.com.br,377.37
21,AGO,53.91,10
21,AGO,AGO,PG *EMPORIO JARDIM
21,AGO,3.00,3.00
21,AGO,MERCADINHO ESTRELA,4.25
21,AGO,4.25,11
21,AGO,AGO,AmazonPrimeBR
21,AGO,14.90,14.90
21,AGO,MERCADINHO ESTRELA,7.00
21,AGO,7.00,11
21,AGO,AGO,PG *EMPORIO JARDIM
21,AGO,3.00,3.00
21,AGO,PAG*LanchesTeixeira,10.00
21,AGO,10.00,13
21,AGO,AGO,SO MOTOS IMPORTS
21,AGO,7.00,7.00
21,AGO,PAG*SanduicheDo,43.00
21,AGO,43.00,13
21,AGO,AGO,POSTO PARAUNA
21,AGO,26.00,26.00
21,AGO,DL     *GOOGLE GOOGLE,9.99
21,AGO,9.99,13
21,AGO,AGO,PORKS GOIANIA
21,AGO,20.00,20.00
22,AGO,NETFLIX.COM,25.90
22,AGO,25.90,13
22,AGO,AGO,44945206000160
22,AGO,17.99,17.99
22,AGO,Uber   *UBER   *TRIP,11.94
22,AGO,11.94,14
22,AGO,AGO,CINEPOLIS CERRADO
22,AGO,17.50,17.50
22,AGO,SO MOTOS IMPORTS,50.00
22,AGO,50.00,14
22,AGO,AGO,PARK PLACE ADMINISTR
22,AGO,6.00,6.00
22,AGO,Uber   *UBER   *TRIP,11.95
22,AGO,11.95,14
22,AGO,AGO,IMPORIUM FRUTERIA
22,AGO,2.50,2.50
22,AGO,MERCADINHO ESTRELA,40.30
22,AGO,40.30,15
22,AGO,AGO,MERCADOLIVRE*JJCASABEB
22,AGO,101.64,16.94
22,AGO,DL     *GOOGLE BUSUU L,22.99
22,AGO,22.99,15
22,AGO,AGO,PAG*ValdineiAndrade
22,AGO,3.00,3.00
22,AGO,PG *EMPORIO JARDIM EMP,6.00
22,AGO,6.00,16
22,AGO,AGO,PAG*ValdineiAndrade
22,AGO,3.00,3.00
23,AGO,MERCADINHO ESTRELA,9.35
23,AGO,9.35,17
23,AGO,AGO,MERCADINHO ESTRELA
23,AGO,8.00,8.00
20,AGO,HOSTGATOR,188.19
20,AGO,62.73,17
20,AGO,AGO,PAG*ValdineiAndrade
20,AGO,3.00,3.00
20,AGO,HOSTGATOR,188.19
20,AGO,62.73,18
20,AGO,AGO,EC*PYTHONBRASIL2022
20,AGO,118.80,118.80
24,AGO,BRETAS FILIAL 658,39.27
24,AGO,39.27,18
24,AGO,AGO,MERCADINHO ESTRELA
24,AGO,6.00,6.00
24,AGO,PG *EMPORIO JARDIM EMP,14.00
24,AGO,14.00,18
24,AGO,AGO,ENGENHARIA DO CORPO -
24,AGO,114.90,114.90
20,AGO,HOSTGATOR,188.19
20,AGO,-188.19,18
20,AGO,AGO,PG *EMPORIO JARDIM EMP
20,AGO,3.00,3.00
25,AGO,EC*NIVEL6,14.99
25,AGO,14.99,19
25,AGO,AGO,MERCADINHO ESTRELA
25,AGO,2.50,2.50
25,AGO,POSTO IPANEMA,25.29
25,AGO,25.29,19
25,AGO,AGO,MERCADINHO ESTRELA
25,AGO,11.50,11.50
25,AGO,PAG*EmporiodoBolo,11.00
25,AGO,11.00,19
25,AGO,AGO,LIDER SPORT
25,AGO,72.00,72.00
26,AGO,PG *EMPORIO JARDIM EMP,5.00
26,AGO,5.00,20
26,AGO,AGO,HOSTGATOR
26,AGO,212.40,17.70
26,AGO,PG *EMPORIO JARDIM EMP,6.00
26,AGO,6.00,20
26,AGO,AGO,HOSTGATOR
26,AGO,188.19,62.73
26,AGO,PG *EMPORIO JARDIM EMP,3.00
26,AGO,3.00,20
26,AGO,AGO,BRETAS FILIAL 658
26,AGO,113.86,113.86
27,AGO,J C DA SILVA-LANCHONE,3.00
27,AGO,3.00,20
27,AGO,AGO,MERCADINHO ESTRELA
27,AGO,12.00,12.00
27,AGO,CINEPOLIS CERRADO,16.50
27,AGO,16.50,20
27,AGO,AGO,PETIT PAO
27,AGO,6.83,6.83
27,AGO,CINEPOLIS CERRADO,43.00
27,AGO,43.00,20
27,AGO,AGO,PORKS GOIANIA
27,AGO,6.00,6.00
27,AGO,CINEPOLIS CERRADO,16.50
27,AGO,16.50,20
27,AGO,AGO,MERCADINHO ESTRELA
27,AGO,38.82,38.82
27,AGO,PETIT PAO,6.25
27,AGO,6.25,20
27,AGO,AGO,PORKS GOIANIA
27,AGO,30.00,30.00
